Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-22,7.0,-0.12025451567573225,-0.12025451567573225
2025-01-23,6.75,-0.18453803557612372,-0.18453803557612372
2025-01-26,4.0,-0.8916567544804299,-0.8916567544804299
2025-01-27,11.25,0.9725653226309227,0.9725653226309227
2025-01-28,7.0,-0.12025451567573225,-0.12025451567573225
2025-01-29,9.5,0.5225806833281824,0.5225806833281824
2025-02-02,9.5,0.5225806833281824,0.5225806833281824
2025-02-03,8.0,0.1368795639258336,0.1368795639258336
2025-02-04,9.5,0.5225806833281824,0.5225806833281824
2025-02-05,11.5,1.0368488425313143,1.0368488425313143
2025-02-06,5.0,-0.6345226748788639,-0.6345226748788639
2025-02-09,2.75,-1.2130743539823872,-1.2130743539823872
2025-02-11,6.25,-0.3131050753769066,-0.3131050753769066
2025-02-14,10.75,0.8439982828301398,0.8439982828301398
2025-02-16,2.75,-1.2130743539823872,-1.2130743539823872
2025-02-17,3.75,-0.9559402743808213,-0.9559402743808213
2025-02-18,6.25,-0.3131050753769066,-0.3131050753769066
2025-02-19,7.0,-0.12025451567573225,-0.12025451567573225
2025-02-20,5.0,-0.6345226748788639,-0.6345226748788639
2025-02-23,1.5,-1.5344919534843446,-1.5344919534843446
2025-02-24,9.75,0.5868642032285739,0.5868642032285739
2025-02-25,11.25,0.9725653226309227,0.9725653226309227
2025-02-26,10.75,0.8439982828301398,0.8439982828301398
2025-03-02,3.0,-1.1487908340819957,-1.1487908340819957
2025-03-03,17.0,2.4510862803399265,2.4510862803399265
2025-03-04,19.0,2.965354439543058,2.965354439543058
2025-03-05,16.0,2.1939522007383605,2.1939522007383605
2025-03-06,10.25,0.7154312430293568,0.7154312430293568
2025-03-09,4.0,-0.8916567544804299,-0.8916567544804299
2025-03-11,13.25,1.4868334818340545,1.4868334818340545
