Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-17,2.5,-0.5291343857421043,-0.5291343857421043
2025-01-20,1.875,-0.7739111193039044,-0.7739111193039044
2025-01-21,1.875,-0.7739111193039044,-0.7739111193039044
2025-01-22,3.0,-0.3333129988926641,-0.3333129988926641
2025-01-23,2.125,-0.6760004258791843,-0.6760004258791843
2025-01-27,3.25,-0.23540230546794397,-0.23540230546794397
2025-01-28,2.375,-0.5780897324544643,-0.5780897324544643
2025-01-29,5.375,0.5968385886421766,0.5968385886421766
2025-02-03,4.125,0.1072851215185763,0.1072851215185763
2025-02-04,1.75,-0.8228664660162645,-0.8228664660162645
2025-02-05,1.75,-0.8228664660162645,-0.8228664660162645
2025-02-06,2.25,-0.6270450791668243,-0.6270450791668243
2025-02-11,1.5,-0.9207771594409845,-0.9207771594409845
2025-02-14,1.875,-0.7739111193039044,-0.7739111193039044
2025-02-17,0.5,-1.312419933139865,-1.312419933139865
2025-02-18,2.5,-0.5291343857421043,-0.5291343857421043
2025-02-19,2.0,-0.7249557725915444,-0.7249557725915444
2025-02-20,1.125,-1.0676431995780646,-1.0676431995780646
2025-02-24,2.375,-0.5780897324544643,-0.5780897324544643
2025-02-25,2.75,-0.43122369231738417,-0.43122369231738417
2025-02-26,7.875,1.5759455228893773,1.5759455228893773
2025-03-03,6.125,0.890570668916337,0.890570668916337
2025-03-04,12.5,3.387293351246699,3.387293351246699
2025-03-05,7.5,1.4290794827522975,1.4290794827522975
2025-03-06,7.0,1.2332580959028572,1.2332580959028572
2025-03-11,9.0,2.0165436433006176,2.0165436433006176
2025-03-17,5.75,0.7437046287792568,0.7437046287792568
2025-03-18,4.375,0.2051958149432964,0.2051958149432964
2025-03-19,7.375,1.3801241360399372,1.3801241360399372
2025-03-20,3.625,-0.08853626533086387,-0.08853626533086387
2025-03-21,3.25,-0.23540230546794397,-0.23540230546794397
2025-03-24,1.625,-0.8718218127286245,-0.8718218127286245
2025-03-25,2.25,-0.6270450791668243,-0.6270450791668243
2025-03-26,2.375,-0.5780897324544643,-0.5780897324544643
2025-03-31,4.0,0.05832977480621626,0.05832977480621626
2025-04-01,2.625,-0.4801790390297442,-0.4801790390297442
2025-04-02,6.375,0.988481362341057,0.988481362341057
2025-04-03,4.0,0.05832977480621626,0.05832977480621626
2025-04-07,10.625,2.6529631505612983,2.6529631505612983
2025-04-08,9.125,2.0654989900129777,2.0654989900129777
2025-04-09,14.0,3.974757511795019,3.974757511795019
2025-04-15,4.375,0.2051958149432964,0.2051958149432964
2025-04-16,5.125,0.4989278952174566,0.4989278952174566
2025-04-17,4.0,0.05832977480621626,0.05832977480621626
2025-04-21,4.75,0.3520618550803765,0.3520618550803765
2025-04-22,3.0,-0.3333129988926641,-0.3333129988926641
2025-04-23,4.875,0.40101720179273653,0.40101720179273653
2025-04-24,2.875,-0.3822683456050241,-0.3822683456050241
